index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud,Accesos_siguiente_trimestre,KPI_propuesto,Mbps_ano_anterior,KPI_crecimiento_anual,Variacion_trimestral,KPI_variacion_trimestral_media
0,2023,4,BUENOS AIRES,158.49,27.68,80.96,-35.633728326052875,-59.695392866402734,80.64,0.3952569169960391,,,,-0.2900000000000003
2,2023,4,CATAMARCA,89.4,17.46,68.63,-27.97273476331947,-66.12713970412685,68.55,0.11656709893632274,,,,-0.21000000000000085
3,2023,4,CHACO,107.14,11.85,44.35,-26.86207729911804,-60.15511735633289,42.87,3.337091319052996,,,,-0.10666666666666676
4,2023,4,CHUBUT,20.29,26.04,84.96,-44.077151734192086,-68.66765299463769,84.23,0.8592278719397243,,,,0.09333333333333371
5,2023,4,CORDOBA,114.03,27.76,90.67,-31.846608244153405,-63.96214628932277,90.05,0.6837983897650872,,,,-0.18666666666666742
6,2023,4,CORRIENTES,100.9,13.84,52.56,-28.61578113415668,-57.97533573736128,52.78,-0.41856925418569035,,,,-0.043333333333333
7,2023,4,ENTRE RIOS,101.18,20.91,69.94,-31.925167566210387,-59.26302098168299,68.84,1.5727766657134608,,,,-0.5133333333333331
8,2023,4,FORMOSA,83.35,9.98,39.23,-25.09315954739276,-59.46860152020448,38.86,0.943155748151918,,,,-0.03666666666666707
9,2023,4,JUJUY,46.2,14.77,57.78,-23.523573011085336,-65.43805280478172,57.61,0.2942194530979607,,,,0.03666666666666707
10,2023,4,LA PAMPA,25.61,32.93,99.96,-36.47714174789248,-64.4553406128059,99.0,0.9603841536614585,,,,-0.3733333333333337
11,2023,4,LA RIOJA,64.18,21.35,80.22,-29.330863895517307,-67.13983451857555,80.44,-0.27424582398404246,,,,-0.040000000000000334
12,2023,4,MENDOZA,49.46,14.55,52.15,-33.368795530481485,-68.68534600457129,52.03,0.23010546500478896,,,,-0.07000000000000028
13,2023,4,MISIONES,93.65,15.33,56.27,-27.058215458325986,-54.96724865075839,55.51,1.350630886795815,,,,-0.21000000000000027
14,2023,4,NEUQUEN,99.63,23.78,79.91,-38.49954335558701,-69.8742115743201,79.97,-0.07508447002878522,,,,-0.13333333333333405
15,2023,4,RIO NEGRO,74.37,21.61,70.26,-39.89645026413934,-67.6105113380815,68.4,2.6473099914602893,,,,-0.11333333333333329
16,2023,4,SALTA,83.04,13.8,56.98,-24.248013631473587,-64.70250708135784,57.57,-1.0354510354510416,,,,0.05666666666666664
17,2023,4,SAN JUAN,24.78,12.75,50.08,-31.31442612644254,-68.50334378949645,50.45,-0.738817891373811,,,,-0.02666666666666669
18,2023,4,SAN LUIS,174.59,29.21,102.07,-32.98264595285886,-65.88683861327827,98.55,3.4486136964828025,,,,-1.1366666666666667
19,2023,4,SANTA CRUZ,36.77,21.94,73.75,-48.863730255517886,-69.86373350526509,40.89,44.55593220338983,,,,-3.0066666666666673
20,2023,4,SANTA FE,99.81,25.08,79.75,-31.64634283294476,-61.04726054930406,79.09,0.8275862068965474,,,,-0.16999999999999935
21,2023,4,SANTIAGO DEL ESTERO,44.22,12.18,49.08,-27.784103764741893,-63.62189998971087,48.67,0.8353708231458774,,,,-0.12666666666666634
22,2023,4,TIERRA DEL FUEGO,17.92,32.75,110.49,-62.35015217161648,-59.53190998460846,105.95,4.108969137478498,,,,-0.6166666666666671
23,2023,4,TUCUMAN,101.55,15.12,61.04,-26.998180477681764,-65.29453734502505,61.26,-0.36041939711664295,,,,-0.05666666666666664
24,2023,3,BUENOS AIRES,146.84,27.5,80.64,-35.633728326052875,-59.695392866402734,79.67,1.2028769841269826,,,-0.17999999999999972,-0.2900000000000003
26,2023,3,CATAMARCA,87.9,17.44,68.55,-27.97273476331947,-66.12713970412685,67.42,1.6484318016046617,,,-0.019999999999999574,-0.21000000000000085
27,2023,3,CHACO,107.5,11.46,42.87,-26.86207729911804,-60.15511735633289,42.87,0.0,,,-0.3899999999999988,-0.10666666666666676
28,2023,3,CHUBUT,19.26,25.82,84.23,-44.077151734192086,-68.66765299463769,82.49,2.065772290157912,,,-0.21999999999999886,0.09333333333333371
29,2023,3,CORDOBA,111.5,27.57,90.05,-31.846608244153405,-63.96214628932277,90.13,-0.08883953359244674,,,-0.19000000000000128,-0.18666666666666742
30,2023,3,CORRIENTES,99.64,13.9,52.78,-28.61578113415668,-57.97533573736128,52.37,0.7768093974990596,,,0.0600000000000005,-0.043333333333333
31,2023,3,ENTRE RIOS,96.26,20.58,68.84,-31.925167566210387,-59.26302098168299,64.43,6.406159209761761,,,-0.33000000000000185,-0.5133333333333331
32,2023,3,FORMOSA,80.29,9.89,38.86,-25.09315954739276,-59.46860152020448,38.32,1.3896037056098793,,,-0.08999999999999986,-0.03666666666666707
33,2023,3,JUJUY,44.55,14.73,57.61,-23.523573011085336,-65.43805280478172,57.78,-0.2950876583926431,,,-0.03999999999999915,0.03666666666666707
34,2023,3,LA PAMPA,24.21,32.62,99.0,-36.47714174789248,-64.4553406128059,98.35,0.6565656565656622,,,-0.3100000000000023,-0.3733333333333337
35,2023,3,LA RIOJA,63.84,21.41,80.44,-29.330863895517307,-67.13983451857555,80.01,0.534559920437584,,,0.05999999999999872,-0.040000000000000334
36,2023,3,MENDOZA,46.96,14.52,52.03,-33.368795530481485,-68.68534600457129,52.09,-0.11531808571978142,,,-0.030000000000001137,-0.07000000000000028
37,2023,3,MISIONES,91.49,15.12,55.51,-27.058215458325986,-54.96724865075839,55.18,0.5944874797333783,,,-0.21000000000000085,-0.21000000000000027
38,2023,3,NEUQUEN,96.57,23.8,79.97,-38.49954335558701,-69.8742115743201,78.97,1.2504689258471928,,,0.019999999999999574,-0.13333333333333405
39,2023,3,RIO NEGRO,70.93,21.04,68.4,-39.89645026413934,-67.6105113380815,68.56,-0.23391812865496572,,,-0.5700000000000003,-0.11333333333333329
40,2023,3,SALTA,80.8,13.94,57.57,-24.248013631473587,-64.70250708135784,57.48,0.15633142261595173,,,0.1399999999999988,0.05666666666666664
41,2023,3,SAN JUAN,24.45,12.85,50.45,-31.31442612644254,-68.50334378949645,47.52,5.807730426164518,,,0.09999999999999964,-0.02666666666666669
42,2023,3,SAN LUIS,104.97,28.2,98.55,-32.98264595285886,-65.88683861327827,93.41,5.2156265854896,,,-1.0100000000000016,-1.1366666666666667
43,2023,3,SANTA CRUZ,15.67,12.17,40.89,-48.863730255517886,-69.86373350526509,41.66,-1.8831010026901345,,,-9.770000000000001,-3.0066666666666673
44,2023,3,SANTA FE,97.39,24.87,79.09,-31.64634283294476,-61.04726054930406,78.83,0.3287394107978317,,,-0.2099999999999973,-0.16999999999999935
45,2023,3,SANTIAGO DEL ESTERO,41.46,12.08,48.67,-27.784103764741893,-63.62189998971087,47.14,3.143620299979456,,,-0.09999999999999964,-0.12666666666666634
46,2023,3,TIERRA DEL FUEGO,17.17,31.41,105.95,-62.35015217161648,-59.53190998460846,106.38,-0.40585181689475464,,,-1.3399999999999999,-0.6166666666666671
47,2023,3,TUCUMAN,98.85,15.17,61.26,-26.998180477681764,-65.29453734502505,60.75,0.8325171400587627,,,0.05000000000000071,-0.05666666666666664
48,2023,2,BUENOS AIRES,138.35,27.1,79.67,-35.633728326052875,-59.695392866402734,79.0,0.8409689971130936,,,-0.3999999999999986,-0.2900000000000003
50,2023,2,CATAMARCA,86.13,17.15,67.42,-27.97273476331947,-66.12713970412685,66.17,1.8540492435479086,,,-0.2900000000000027,-0.21000000000000085
51,2023,2,CHACO,105.45,11.46,42.87,-26.86207729911804,-60.15511735633289,43.15,-0.6531373921157013,,,0.0,-0.10666666666666676
52,2023,2,CHUBUT,18.58,25.28,82.49,-44.077151734192086,-68.66765299463769,85.89,-4.121711722633053,,,-0.5399999999999991,0.09333333333333371
53,2023,2,CORDOBA,111.82,27.59,90.13,-31.846608244153405,-63.96214628932277,88.84,1.4312659491845026,,,0.019999999999999574,-0.18666666666666742
54,2023,2,CORRIENTES,97.21,13.79,52.37,-28.61578113415668,-57.97533573736128,52.05,0.6110368531602067,,,-0.11000000000000121,-0.043333333333333
55,2023,2,ENTRE RIOS,89.37,19.26,64.43,-31.925167566210387,-59.26302098168299,64.79,-0.5587459258109567,,,-1.3199999999999967,-0.5133333333333331
56,2023,2,FORMOSA,77.32,9.75,38.32,-25.09315954739276,-59.46860152020448,38.79,-1.2265135699373664,,,-0.14000000000000057,-0.03666666666666707
57,2023,2,JUJUY,43.56,14.78,57.78,-23.523573011085336,-65.43805280478172,58.2,-0.7268951194184868,,,0.049999999999998934,0.03666666666666707
58,2023,2,LA PAMPA,22.78,32.4,98.35,-36.47714174789248,-64.4553406128059,96.55,1.8301982714794076,,,-0.21999999999999886,-0.3733333333333337
59,2023,2,LA RIOJA,63.55,21.3,80.01,-29.330863895517307,-67.13983451857555,79.74,0.33745781777279116,,,-0.10999999999999943,-0.040000000000000334
60,2023,2,MENDOZA,42.69,14.54,52.09,-33.368795530481485,-68.68534600457129,51.4,1.3246304473027544,,,0.019999999999999574,-0.07000000000000028
61,2023,2,MISIONES,90.55,15.03,55.18,-27.058215458325986,-54.96724865075839,53.97,2.1928234867705707,,,-0.08999999999999986,-0.21000000000000027
62,2023,2,NEUQUEN,93.97,23.5,78.97,-38.49954335558701,-69.8742115743201,78.55,0.5318475370393841,,,-0.3000000000000007,-0.13333333333333405
63,2023,2,RIO NEGRO,70.76,21.09,68.56,-39.89645026413934,-67.6105113380815,69.16,-0.8751458576429321,,,0.05000000000000071,-0.11333333333333329
64,2023,2,SALTA,79.1,13.92,57.48,-24.248013631473587,-64.70250708135784,57.67,-0.33054975643703,,,-0.019999999999999574,0.05666666666666664
65,2023,2,SAN JUAN,20.39,12.1,47.52,-31.31442612644254,-68.50334378949645,49.75,-4.692760942760936,,,-0.75,-0.02666666666666669
66,2023,2,SAN LUIS,103.84,26.73,93.41,-32.98264595285886,-65.88683861327827,90.17,3.468579381222562,,,-1.4699999999999989,-1.1366666666666667
67,2023,2,SANTA CRUZ,15.48,12.39,41.66,-48.863730255517886,-69.86373350526509,43.42,-4.224675948151717,,,0.22000000000000064,-3.0066666666666673
68,2023,2,SANTA FE,94.87,24.79,78.83,-31.64634283294476,-61.04726054930406,78.13,0.887986807053156,,,-0.08000000000000185,-0.16999999999999935
69,2023,2,SANTIAGO DEL ESTERO,37.62,11.7,47.14,-27.784103764741893,-63.62189998971087,47.55,-0.8697496817988896,,,-0.3800000000000008,-0.12666666666666634
70,2023,2,TIERRA DEL FUEGO,16.92,31.54,106.38,-62.35015217161648,-59.53190998460846,104.23,2.0210565895845005,,,0.129999999999999,-0.6166666666666671
71,2023,2,TUCUMAN,96.69,15.05,60.75,-26.998180477681764,-65.29453734502505,60.34,0.6748971193415582,,,-0.11999999999999922,-0.05666666666666664
72,2023,1,BUENOS AIRES,116.18,26.81,79.0,-35.633728326052875,-59.695392866402734,78.94,0.07594936708861048,,,-0.2900000000000027,-0.2900000000000003
74,2023,1,CATAMARCA,87.41,16.83,66.17,-27.97273476331947,-66.12713970412685,65.77,0.6045035514583734,,,-0.3200000000000003,-0.21000000000000085
75,2023,1,CHACO,104.33,11.53,43.15,-26.86207729911804,-60.15511735633289,43.62,-1.0892236384704495,,,0.06999999999999851,-0.10666666666666676
76,2023,1,CHUBUT,18.36,26.32,85.89,-44.077151734192086,-68.66765299463769,85.57,0.37256956572360855,,,1.0399999999999991,0.09333333333333371
77,2023,1,CORDOBA,109.57,27.2,88.84,-31.846608244153405,-63.96214628932277,89.03,-0.21386762719495467,,,-0.39000000000000057,-0.18666666666666742
78,2023,1,CORRIENTES,94.8,13.71,52.05,-28.61578113415668,-57.97533573736128,51.64,0.7877041306436053,,,-0.0799999999999983,-0.043333333333333
79,2023,1,ENTRE RIOS,86.71,19.37,64.79,-31.925167566210387,-59.26302098168299,64.01,1.2038894891186929,,,0.10999999999999943,-0.5133333333333331
80,2023,1,FORMOSA,73.96,9.87,38.79,-25.09315954739276,-59.46860152020448,39.41,-1.598350090229434,,,0.11999999999999922,-0.03666666666666707
81,2023,1,JUJUY,42.75,14.88,58.2,-23.523573011085336,-65.43805280478172,58.46,-0.446735395189,,,0.10000000000000142,0.03666666666666707
82,2023,1,LA PAMPA,20.09,31.81,96.55,-36.47714174789248,-64.4553406128059,94.8,1.8125323666494046,,,-0.5899999999999999,-0.3733333333333337
83,2023,1,LA RIOJA,63.13,21.23,79.74,-29.330863895517307,-67.13983451857555,79.86,-0.150489089541014,,,-0.07000000000000028,-0.040000000000000334
84,2023,1,MENDOZA,41.45,14.34,51.4,-33.368795530481485,-68.68534600457129,51.36,0.0778210116731501,,,-0.1999999999999993,-0.07000000000000028
85,2023,1,MISIONES,89.81,14.7,53.97,-27.058215458325986,-54.96724865075839,52.85,2.0752269779507087,,,-0.33000000000000007,-0.21000000000000027
86,2023,1,NEUQUEN,93.42,23.38,78.55,-38.49954335558701,-69.8742115743201,78.67,-0.1527689369828193,,,-0.120000000000001,-0.13333333333333405
87,2023,1,RIO NEGRO,74.4,21.27,69.16,-39.89645026413934,-67.6105113380815,68.42,1.06998264893001,,,0.17999999999999972,-0.11333333333333329
88,2023,1,SALTA,76.85,13.97,57.67,-24.248013631473587,-64.70250708135784,57.96,-0.5028611062944324,,,0.05000000000000071,0.05666666666666664
89,2023,1,SAN JUAN,18.7,12.67,49.75,-31.31442612644254,-68.50334378949645,50.88,-2.2713567839196034,,,0.5700000000000003,-0.02666666666666669
