index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud
0,2023,4,BUENOS AIRES,158.49,27.68,80.96,-35.633728326052875,-59.695392866402734
2,2023,4,CATAMARCA,89.4,17.46,68.63,-27.97273476331947,-66.12713970412685
3,2023,4,CHACO,107.14,11.85,44.35,-26.86207729911804,-60.15511735633289
4,2023,4,CHUBUT,20.29,26.04,84.96,-44.077151734192086,-68.66765299463769
5,2023,4,CORDOBA,114.03,27.76,90.67,-31.846608244153405,-63.96214628932277
6,2023,4,CORRIENTES,100.9,13.84,52.56,-28.61578113415668,-57.97533573736128
7,2023,4,ENTRE RIOS,101.18,20.91,69.94,-31.925167566210387,-59.26302098168299
8,2023,4,FORMOSA,83.35,9.98,39.23,-25.09315954739276,-59.46860152020448
9,2023,4,JUJUY,46.2,14.77,57.78,-23.523573011085336,-65.43805280478172
10,2023,4,LA PAMPA,25.61,32.93,99.96,-36.47714174789248,-64.4553406128059
11,2023,4,LA RIOJA,64.18,21.35,80.22,-29.330863895517307,-67.13983451857555
12,2023,4,MENDOZA,49.46,14.55,52.15,-33.368795530481485,-68.68534600457129
13,2023,4,MISIONES,93.65,15.33,56.27,-27.058215458325986,-54.96724865075839
14,2023,4,NEUQUEN,99.63,23.78,79.91,-38.49954335558701,-69.8742115743201
15,2023,4,RIO NEGRO,74.37,21.61,70.26,-39.89645026413934,-67.6105113380815
16,2023,4,SALTA,83.04,13.8,56.98,-24.248013631473587,-64.70250708135784
17,2023,4,SAN JUAN,24.78,12.75,50.08,-31.31442612644254,-68.50334378949645
18,2023,4,SAN LUIS,174.59,29.21,102.07,-32.98264595285886,-65.88683861327827
19,2023,4,SANTA CRUZ,36.77,21.94,73.75,-48.863730255517886,-69.86373350526509
20,2023,4,SANTA FE,99.81,25.08,79.75,-31.64634283294476,-61.04726054930406
21,2023,4,SANTIAGO DEL ESTERO,44.22,12.18,49.08,-27.784103764741893,-63.62189998971087
22,2023,4,TIERRA DEL FUEGO,17.92,32.75,110.49,-62.35015217161648,-59.53190998460846
23,2023,4,TUCUMAN,101.55,15.12,61.04,-26.998180477681764,-65.29453734502505
24,2023,3,BUENOS AIRES,146.84,27.5,80.64,-35.633728326052875,-59.695392866402734
26,2023,3,CATAMARCA,87.9,17.44,68.55,-27.97273476331947,-66.12713970412685
27,2023,3,CHACO,107.5,11.46,42.87,-26.86207729911804,-60.15511735633289
28,2023,3,CHUBUT,19.26,25.82,84.23,-44.077151734192086,-68.66765299463769
29,2023,3,CORDOBA,111.5,27.57,90.05,-31.846608244153405,-63.96214628932277
30,2023,3,CORRIENTES,99.64,13.9,52.78,-28.61578113415668,-57.97533573736128
31,2023,3,ENTRE RIOS,96.26,20.58,68.84,-31.925167566210387,-59.26302098168299
32,2023,3,FORMOSA,80.29,9.89,38.86,-25.09315954739276,-59.46860152020448
33,2023,3,JUJUY,44.55,14.73,57.61,-23.523573011085336,-65.43805280478172
